Name,Unique-ID,case_disposition_rate
Shimla,57,0.6831468330822753
Kamrup Metropolitan,263,0.7925811897904459
Tinsukia,245,0.7956165446346313
Sivasagar,243,0.8855579547598583
Morigaon,249,0.7648998224702004
Lakhimpur,251,0.7659502358290734
Lakhimpur,251,0.5169678427353519
Sonitpur,260,0.8520760612200063
Dibrugarh,258,0.8127276359668669
Darrang,256,0.7164492469626561
Bongaigaon,252,0.6625962463907603
Nagaon,254,0.7472826979279545
Jorhat,266,0.8223999066184196
Karimganj,244,0.7404352404352404
Cachar,255,0.6730241492864983
Nalbari,241,0.8392719951254405
Dhubri,242,0.6909534508179457
Dhemaji,248,0.8744125326370757
Goalpara,240,0.7575227076673263
Golaghat,262,0.7903692048739435
Barpeta,259,0.7552070613683145
Hailakandi,246,0.7470237228933198
Kokrajhar,265,0.725236125204902
Kamrup,257,0.2992125984251969
Udalguri,261,0.8549800796812749
Chirang,247,0.408063388487532
Karbi Anglong West,693,0.3576809254775356
Baksa,253,0.2140718562874251
Dima Hasao,264,0.265770423991727
Bokaro,152,0.7408715915283859
Dumka,151,0.6701164694615218
Kodarma,144,0.7171601105053419
Pashchimi Singhbhum,140,0.773953488372093
Gumla,154,0.6987980202686779
Godda,148,0.6452589307120594
Hazaribagh,141,0.7349579627147557
Lohardaga,146,0.7704972011853803
Dhanbad,150,0.7453630341149451
Giridih,145,0.644618800888231
Purbi Singhbhum,143,0.6917761966744634
Jamtara,135,0.7661405005688282
Chatra,142,0.7243092991913747
Pakur,158,0.6974318990302617
Saraikela-Kharsawan,136,0.6413016033329125
Deoghar,153,0.6471015809558422
Palamu,149,0.6598582881474335
Simdega,137,0.8350497620077888
Latehar,138,0.7119003330882034
Garhwa,156,0.6531666961425848
Sahibganj,147,0.7946155154814563
Ranchi,157,0.6109470193878619
Ramgarh,155,0.6349607892739692
Khunti,139,0.5922967189728958
Patna,182,0.4484550389933653
Kaimur (Bhabua),186,0.5469627676376472
Samastipur,185,0.4687193667793237
Saran,171,0.689334874850542
Katihar,196,0.5293815284636425
Begusarai,194,0.5726034326379683
Banka,165,0.403468462168588
Purnia,161,0.5969889921281533
Purba Champaran,191,0.4546077583857075
Munger,189,0.4916774027312548
Madhepura,162,0.4604124957503872
Rohtas,187,0.4207352449937587
Khagaria,188,0.4875325562529354
Jamui,193,0.3457523838182468
Darbhanga,184,0.5279091228328066
Madhubani,180,0.5086180406179289
Lakhisarai,192,0.4242721439179533
Sheikhpura,172,0.4777535916412712
Saharsa,174,0.3759166737234313
Supaul,181,0.3240215021264653
Gopalganj,175,0.5323925649515601
Araria,168,0.4854544547291734
Kishanganj,163,0.5495968498031127
Buxar,179,0.4489115371289987
Nawada,167,0.6775779242542732
Pashchim Champaran,169,0.4086651994409548
Siwan,177,0.3449986145746744
Nalanda,195,0.2032731186700037
Sitamarhi,190,0.4427316744962814
Bhojpur,183,0.0676865544790073
Bhagalpur,160,0.1463542506855944
Gaya,164,0.1048632218844984
Jehanabad,173,0.085762914867463
Sheohar,178,0.0530824537249502
Muzaffarpur,170,0.0595539181519466
Vaishali,176,0.0524864376130198
Rajsamand,531,0.7281732522128753
Alwar,648,0.599325037998815
Dausa,538,0.7107975405847746
Jaipur,528,0.6687304353571812
Tonk,526,0.6951987909788422
Bikaner,523,0.7031656194881457
Ganganagar,520,0.702945664261515
Nagaur,518,0.7082570400303069
Udaipur,536,0.6085639231355062
Bundi,527,0.7446406865814579
Hanumangarh,517,0.718000584534449
Baran,649,0.6829762561498711
Bharatpur,533,0.6823947796050672
Ajmer,532,0.7376093294460642
Jhunjhunun,514,0.729181412966541
Pali,530,0.6818731034861528
Kota,529,0.7019376350305361
Jalor,537,0.6587948682685318
Jhalawar,647,0.679232953831461
Pratapgarh,524,0.7872638488632725
