Name,Unique-ID,mean_decision_days
Anugul,486,218.41342159916923
Bargarh,490,320.2516592318573
Debagarh,487,267.21659538066723
Malkangiri,495,211.2180407928756
Nabarangapur,489,215.4258160237389
Kathua,83,243.50044033465437
Udhampur,77,166.08131816026554
Baramula,65,252.67463963250435
Anantnag,64,90.33933043553355
Srinagar,72,259.3383010432191
Pulwama,74,146.41382630464085
Ganderbal,76,235.78160556257905
Badgam,78,220.6972744112199
Reasi,68,238.9571881606765
Shupiyan,67,135.17239983812223
Kupwara,80,221.3623287671233
Punch,79,332.4774706550549
Rajouri,69,361.2906596995428
Ramban,75,252.60909649661957
Doda,73,160.40877757352942
Leh(Ladakh),71,238.9813333333333
Leh(Ladakh),71,229.7094430992736
Kargil,84,240.60591133004925
Kargil,84,255.0995475113122
Bandipore,82,355.64927536231886
Jammu,70,347.9712542458171
Kulgam,66,284.6348140495868
Samba,81,299.8960880195599
Kishtwar,85,281.3056286165176
Allahabad,636,153.36009421160176
Bareilly,575,156.09868899899155
Gorakhpur,591,130.82171155579394
Hardoi,578,256.63479037333104
Chitrakoot,589,141.73459608771634
Meerut,568,149.20722493385423
Bahraich,563,199.97928309765825
Ghaziabad,621,187.2088903868479
Fatehpur,617,112.6050916496945
Shrawasti,567,283.12237431401
Jaunpur,609,197.8927283998806
Pilibhit,584,149.20890177353343
Mainpuri,585,201.6260431203896
Ambedkar Nagar,595,217.92034294920973
Sitapur,565,129.06783642904338
Auraiya,600,211.2282740256597
Budaun,561,155.6087415122948
Kanpur Nagar,597,317.07228414706304
Gautam Buddha Nagar,623,168.03082306207307
Ballia,596,222.44245214441483
Sant Ravidas Nagar (Bhadohi),598,135.2898448519041
Lalitpur,641,221.48275169470247
Lucknow,592,223.3009357997824
Etah,577,150.41442377205155
Muzaffarnagar,622,196.0467211099176
Varanasi,604,145.45395730248333
Ghazipur,642,236.2670427673806
Firozabad,587,167.3139807193852
Agra,626,128.18516040096895
Etawah,625,203.21484821969443
Kushinagar,614,175.0644776342041
Jyotiba Phule Nagar,586,206.64039967402476
Bara Banki,610,142.81463643548705
Kaushambi,602,271.3699043310241
Mahoba,611,133.61222543271523
Banda,639,183.28450754852625
Kanshiram Nagar,562,197.36748867366595
Deoria,615,309.3930327122656
Mau,618,178.67503858933102
Aligarh,569,127.30966261556316
Azamgarh,593,196.75843884254317
Baghpat,572,243.50428163653663
Basti,590,145.03926205188836
Bijnor,571,239.51161921375612
Bulandshahr,570,130.2284117879747
Faizabad,594,130.74299944443902
Gonda,607,160.98596733847185
Kanpur Dehat,608,142.46777433955293
Mahrajganj,612,143.14962462254482
Mathura,576,151.72703621534484
Moradabad,559,114.7878316851782
Rae Bareli,619,187.73490591370089
Rampur,574,112.78910890044624
Saharanpur,624,226.34126172420676
Shahjahanpur,581,122.72941815548045
Siddharthnagar,599,140.3652405810259
Sonbhadra,640,178.20450524619454
Sultanpur,588,179.83112563112564
Unnao,616,195.6130431076733
Farrukhabad,582,155.73904544356344
Mahamaya Nagar,580,164.46488831753177
Jhansi,638,99.95763681630508
Balrampur,328,253.923653823261
Balrampur,579,253.923653823261
Mirzapur,613,170.0536097332082
Kannauj,583,191.16471759144065
Jalaun,603,230.38192600138248
Sant Kabir Nagar,601,177.55757896594318
Hapur,564,151.3924458897537
Sambhal,560,315.44137399537595
Chandauli,637,373.0235191637631
Samli,566,259.913645965357
Karnal,206,164.37214392913356
Sirsa,213,186.07587771793337
Ambala,217,171.4937591451248
Bhiwani,203,205.9738769947186
Faridabad,212,193.5582116971433
Gurgaon,197,214.00025816944952
Hisar,214,175.52170197077356
Jhajjar,202,227.2753486505468
Jind,208,188.1927806493024
Kurukshetra,207,194.68549350004696
Mahendragarh,210,265.25724869416905
Rohtak,216,177.0045843129925
Sonipat,205,241.1635754011549
Panchkula,200,133.98073870922687
Fatehabad,211,137.98513076438994
Kaithal,204,222.67007204200416
Rewari,215,199.66005907449951
Panipat,209,228.17590477335577
Mewat,201,240.1792646792042
Yamunanagar,198,244.56235595834272
Palwal,199,234.01061773574207
Nainital,345,144.34007058068656
Garhwal,350,161.74308532997057
Tehri Garhwal,353,110.01785714285714
Udham Singh Nagar,357,236.5548528683012
Dehradun,346,199.59088781401155
Uttarkashi,349,132.519025632861
Almora,347,113.5422943221321
Chamoli,356,122.34625228519197
Hardwar,351,240.6664387591229
Champawat,348,72.58057501812031
Bageshwar,354,93.91763005780346
Pithoragarh,355,124.06248537327404
Rudraprayag,352,
Maldah,381,171.29445370149963
Hugli,395,206.2781090959968
Kolkata,380,356.25865168539326
Jalpaiguri,384,139.17241585460633
Koch Bihar,393,137.19614302161955
Paschim Medinipur,394,132.6728019549732
Birbhum,389,286.6046228710462
Purba Medinipur,386,234.54457050243116
Puruliya,392,120.12595479959052
Haora,387,120.85540177139616
Murshidabad,379,210.4828587129592
Dakshin Dinajpur,378,101.62286602779716
Darjiling,383,179.9011795953441
Barddhaman,390,223.2775058703709
Bankura,391,283.81194134486185
South Twenty Four Parganas,382,216.07247994360716
Uttar Dinajpur,385,171.35384371029224
Nadia,377,221.19427635470225
Kalimpong,718,162.0705596107056
Paschim Barddhaman,717,209.8414679124662
