Name,Unique-ID,mean_decision_days
Rajouri,69,688.1041023378915
Ramban,75,413.39042089985486
Doda,73,369.99079523162817
Leh(Ladakh),71,266.3255208333333
Leh(Ladakh),71,382.8477508650519
Kargil,84,399.4347826086956
Kargil,84,509.2951289398281
Bandipore,82,633.6150696150696
Jammu,70,717.9433676559661
Kulgam,66,565.6620530565167
Samba,81,729.3120649651972
Kishtwar,85,422.9515711645101
Allahabad,636,454.35548391163786
Bareilly,575,419.9532477873042
Gorakhpur,591,299.89904930039484
Hardoi,578,603.4045095625544
Chitrakoot,589,346.8933938238916
Meerut,568,379.8667198304967
Bahraich,563,559.4832933383854
Ghaziabad,621,453.7374325008593
Fatehpur,617,292.8595031804249
Shrawasti,567,676.6478197874983
Jaunpur,609,480.8733917101399
Pilibhit,584,346.0024129333226
Mainpuri,585,574.2420562671184
Ambedkar Nagar,595,499.8407216935612
Sitapur,565,331.9390773633059
Auraiya,600,504.4611939846894
Budaun,561,358.51416148868526
Kanpur Nagar,597,737.1360250122779
Gautam Buddha Nagar,623,326.4465047959509
Ballia,596,673.6659150204995
Sant Ravidas Nagar (Bhadohi),598,382.1448160087948
Lalitpur,641,542.3942372807305
Lucknow,592,576.121051603239
Etah,577,346.6071335209829
Muzaffarnagar,622,502.968443021122
Varanasi,604,403.77710300172737
Ghazipur,642,602.4654893669941
Firozabad,587,416.37039386918553
Agra,626,365.06811489953486
Etawah,625,578.6568207215171
Kushinagar,614,507.9982662341116
Jyotiba Phule Nagar,586,491.4276728342495
Bara Banki,610,431.5239928267853
Kaushambi,602,642.2659461525395
Mahoba,611,354.25291365229555
Banda,639,410.01062814930776
Kanshiram Nagar,562,560.7649528979722
Deoria,615,940.6852061404444
Mau,618,588.8951324064412
Aligarh,569,367.17166625419526
Azamgarh,593,684.8747979088731
Baghpat,572,560.0339857851985
Basti,590,467.3908819466108
Bijnor,571,522.6521038657127
Bulandshahr,570,363.6520904918362
Faizabad,594,380.9588069448541
Gonda,607,470.8862935213751
Kanpur Dehat,608,436.23016383742
Mahrajganj,612,491.7977301161752
Mathura,576,343.556906351258
Moradabad,559,296.13234979504864
Rae Bareli,619,612.2612157746346
Rampur,574,355.2513060070507
Saharanpur,624,490.7256805621405
Shahjahanpur,581,388.184448913918
Siddharthnagar,599,437.3303873569012
Sonbhadra,640,451.7569647284063
Sultanpur,588,528.979100234354
Unnao,616,534.3293090144742
Farrukhabad,582,452.6117330476925
Mahamaya Nagar,580,489.4720206304694
Jhansi,638,314.0324274577739
Balrampur,328,605.590599242593
Balrampur,579,605.590599242593
Mirzapur,613,430.6998250728863
Kannauj,583,532.5405235969707
Jalaun,603,634.2617448502683
Sant Kabir Nagar,601,567.583000137874
Hapur,564,394.3995189940537
Sambhal,560,504.531414249562
Chandauli,637,968.972228443449
Samli,566,815.0128963694852
Karnal,206,316.7613816593432
Sirsa,213,328.3013764647632
Ambala,217,379.26908373118977
Bhiwani,203,411.88014671376
Faridabad,212,398.0176004437346
Gurgaon,197,421.8790316659499
Hisar,214,350.8901096817617
Jhajjar,202,443.1374509823688
Jind,208,366.4938627398415
Kurukshetra,207,362.0686543341246
Mahendragarh,210,525.6457983538611
Rohtak,216,339.09772123330055
Sonipat,205,445.298274509804
Panchkula,200,279.91010267461024
Fatehabad,211,252.07581655561992
Kaithal,204,397.8109530568477
Rewari,215,446.1632866251216
Panipat,209,420.5057188034257
Mewat,201,446.49982109632174
Yamunanagar,198,503.4633223872306
