Name,Unique-ID,case_pendency_rate
Shahjahanpur,581,0.3526758852916011
Siddharthnagar,599,0.3627194620844228
Sonbhadra,640,0.3461888257994739
Sultanpur,588,0.5020846274256466
Unnao,616,0.3240837411367696
Farrukhabad,582,0.4269655909449034
Mahamaya Nagar,580,0.3537278699148672
Jhansi,638,0.2361553285960488
Balrampur,328,0.4799668854015754
Balrampur,579,0.4799668854015754
Mirzapur,613,0.387379421221865
Kannauj,583,0.5138196471469533
Jalaun,603,0.2050599403639019
Sant Kabir Nagar,601,0.4157116370060003
Hapur,564,0.4271101540190066
Sambhal,560,0.4316988795759255
Chandauli,637,0.865189936854766
Samli,566,0.5568159316568131
Karnal,206,0.1554732250775132
Sirsa,213,0.144805534561944
Ambala,217,0.180161792159303
Bhiwani,203,0.1993821316965421
Faridabad,212,0.2379439827141111
Gurgaon,197,0.2403698766099146
Hisar,214,0.1618782030112892
Jhajjar,202,0.1690272510803422
Jind,208,0.202293494369289
Kurukshetra,207,0.2338346488421152
Mahendragarh,210,0.213996759921556
Rohtak,216,0.1610428395797827
Sonipat,205,0.2286899936113796
Panchkula,200,0.1390505107916897
Fatehabad,211,0.1453822571373826
Kaithal,204,0.1744768589602983
Rewari,215,0.1946343832903635
Panipat,209,0.1898959058086045
Mewat,201,0.2520495473772682
Yamunanagar,198,0.2205063173479753
Palwal,199,0.2713968157250375
Nainital,345,0.2105408861410285
Garhwal,350,0.2332654506817779
Tehri Garhwal,353,0.142178552837064
Udham Singh Nagar,357,0.3193244957120425
Dehradun,346,0.3504734534468148
Uttarkashi,349,0.1203983638627067
Almora,347,0.0902897480095214
Chamoli,356,0.1163271331561854
Hardwar,351,0.3013247849616705
Champawat,348,0.0769015071854188
Bageshwar,354,0.0510250569476082
Pithoragarh,355,0.1024934871604019
Rudraprayag,352,1.0
Maldah,381,0.2971470076921245
Hugli,395,0.4093700003018685
Kolkata,380,0.4658229586803691
Jalpaiguri,384,0.4184354888282465
Koch Bihar,393,0.2780259329215376
Paschim Medinipur,394,0.3762479333587689
Birbhum,389,0.4927786541913724
Purba Medinipur,386,0.4602940743141703
Puruliya,392,0.3381354268891069
Haora,387,0.2867045474978872
Murshidabad,379,0.4625138704185266
Dakshin Dinajpur,378,0.2757015206145163
Darjiling,383,0.4803059818501449
Barddhaman,390,0.4290672213707028
Bankura,391,0.4358721934369602
South Twenty Four Parganas,382,0.4813207410061667
Uttar Dinajpur,385,0.2923823851203501
Nadia,377,0.4624109499131719
Kalimpong,718,0.0842602892102336
Paschim Barddhaman,717,0.2251986107229829
Jhargram,716,0.3162136832239925
Gandhinagar,116,0.1930335623941838
Ahmadabad,89,0.2366335624046295
Surat,111,0.2684841346646761
Mahesana,104,0.1815728618920367
Rajkot,101,0.1788654936906866
Amreli,99,0.2134911267326112
Anand,97,0.1784480467711932
Banas Kantha,95,0.18803881431327
Bharuch,106,0.1305288442418891
Bhavnagar,88,0.2120315418822634
Dohad,100,0.1756427693927694
Jamnagar,112,0.2069699100365983
Junagadh,108,0.1424086757990867
Kheda,120,0.1693530510782482
Kachchh,102,0.2360699103531986
Panch Mahals,119,0.2124550263033413
Patan,105,0.1268783668840374
Sabar Kantha,94,0.2111888011691716
Surendranagar,96,0.1644640703979046
Vadodara,92,0.2887151080699467
Navsari,110,0.1547003218359816
Narmada,98,0.1473281246502048
Tapi,113,0.1051304645811915
Valsad,115,0.2193830058898636
Porbandar,114,0.1258601204526272
Gir Somnath,107,0.1986193978806915
Aravali,93,0.1475825706327099
Morbi,118,0.230861925129441
Devbhumi Dwarka,109,0.1955856684371539
Chhota Udaipur,90,0.1121814451075294
Mahisagar,117,0.2186896143044856
Batod,91,0.1699531754929763
Korba,339,0.2176569789088679
Raipur,334,0.2155058907288034
Surguja,327,0.2815039387689173
Dhamtari,338,0.1655696037539103
Raigarh,340,0.2688430914707546
Raigarh,475,0.2688430914707546
Durg,331,0.3105636285300223
