district_name,Unique-ID,Name
Ratnagiri,469,Ratnagiri
Rayagada,512,Rayagada
Reasi,68,Reasi
Rewa,11,Rewa
Rewari,215,Rewari
Ri Bhoi,308,Ribhoi
Rohtak,216,Rohtak
Rohtas Sasaram,187,Rohtas
Rudraprayag,352,Rudraprayag
Rupnagar,412,Rupnagar
Sabarkantha at Himmatnagar,94,Sabar Kantha
Sagar,20,Sagar
Saharanpur,624,Saharanpur
Saharsa,174,Saharsa
Sahibganj,147,Sahibganj
Mohali,416,Sahibzada Ajit Singh Nagar
Saiha,274,Saiha
Saitual,728,Saitual
Salem,552,Salem
Samastipur,185,Samastipur
Samba,81,Samba
Sambalpur,497,Sambalpur
Sambhal at Chandausi,560,Sambhal
Shamli,566,Samli
Sangareddy,672,Sangareddy
Sangli,463,Sangli
Sangrur,402,Sangrur
Santkabir Nagar,601,Sant Kabir Nagar
Bhadohi SR Nagar,598,Sant Ravidas Nagar (Bhadohi)
Seraikella,136,Saraikela-Kharsawan
Saran at Chapra,171,Saran
Satara,462,Satara
Satna,15,Satna
Sawai Madhopur,651,Sawai Madhopur
Sehore,6,Sehore
Senapati,701,Senapati
Seoni,31,Seoni
Serchhip,276,Serchhip
Shahdara,714,Shahdara
Shahdol,49,Shahdol
SBS Nagar,417,Shahid Bhagat Singh Nagar
Shahjahanpur,581,Shahjahanpur
Shajapur,44,Shajapur
Sheikhpura,172,Sheikhpura
Sheohar,178,Sheohar
Sheopur,27,Sheopur
Shi Yomi,724,Shi Yomi
Shimla,57,Shimla
SHIVAMOGGA,439,Shimoga
Shivpuri,45,Shivpuri
Shravasti,567,Shrawasti
Shopian,67,Shupiyan
Siang,233,Siang
Siddharthnagar,599,Siddharthnagar
Siddipet,673,Siddipet
Sidhi,38,Sidhi
Sikar,516,Sikar
Simdega,137,Simdega
Sindhudurg,454,Sindhudurg
Singrauli,40,Singrauli
Sipahijula,300,Sipahijula
Sirmaur,53,Sirmaur
Sirohi,539,Sirohi
Sirsa,213,Sirsa
Sitamarhi,190,Sitamarhi
Sitapur,565,Sitapur
Sivagangai,541,Sivaganga
Sivasagar,243,Sivasagar
Siwan,177,Siwan
Solan,52,Solan
Solapur,451,Solapur
Sonbhadra,640,Sonbhadra
Sonepat,205,Sonipat
Sonitpur,260,Sonitpur
South,709,South
South Andaman,222,South Andaman
Namchi,374,South District
South East,712,South East
South Garo Hills,307,South Garo Hills
South Goa,220,South Goa
South Salmara-Mankachar,694,South Salmara-Mankachar
SouthTripura,306,South Tripura
South Twenty Four Parganas,382,South Twenty Four Parganas
South West,707,South West
South West Garo Hills,313,South West Garo Hills
South West Khasi Hills,311,South West Khasi Hills
Nellore,126,Sri Potti Sriramulu Nellore
Srikakulam,128,Srikakulam
Srinagar,72,Srinagar
Sonepur,484,Subarnapur
Sukma,324,Sukma
Sultanpur,588,Sultanpur
Sundargarh,508,Sundargarh
Supaul,181,Supaul
Surajpur,332,Surajpur
SURAT,111,Surat
Surendranagar,96,Surendranagar
Surguja,327,Surguja
Suryapet,678,Suryapet
Tamenglong,280,Tamenglong
Tapi,113,Tapi
Tarn Taran,399,Tarn Taran
Tawang,238,Tawang
Tehri Garhwal,353,Tehri Garhwal
Tengnoupal,699,Tengnoupal
Tenkasi,735,Tenkasi
Thane,479,Thane
Thanjavur,542,Thanjavur
The Dangs,103,The Dangs
The Nilgiris,646,The Nilgiris
Theni,551,Theni
Tiruvallur,548,Thiruvallur
Thiruvananthapuram,369,Thiruvananthapuram
Tiruvarur,547,Thiruvarur
Thoothukudi,635,Thoothukkudi
Thoubal,284,Thoubal
Thrissur,367,Thrissur
Tikamgarh,22,Tikamgarh
Tinsukia,245,Tinsukia
Tirap,685,Tirap
Tiruchirappalli,549,Tiruchirappalli
Tirunelveli,545,Tirunelveli
Tirupathur,730,Tirupathur
Tiruppur,550,Tiruppur
Tiruvannamalai,543,Tiruvannamalai
Tonk,526,Tonk
Tuensang,289,Tuensang
TUMAKURU,443,Tumkur
Udaipur,536,Udaipur
Udalguri,261,Udalguri
Udham Singh Nagar,357,Udham Singh Nagar
Udhampur,77,Udhampur
UDUPI,436,Udupi
Ujjain,10,Ujjain
Ukhrul,281,Ukhrul
Umaria,33,Umaria
Una,51,Una
Unnao,616,Unnao
Unakoti Tripura,303,Unokoti
Upper Siang,231,Upper Siang
Upper Subansiri,226,Upper Subansiri
Kanker,325,Uttar Bastar Kanker
North Dinajpur,385,Uttar Dinajpur
UTTARA KANNADA,429,Uttara Kannada
Uttarkashi,349,Uttarkashi
Vadodara,92,Vadodara
Vaishali,176,Vaishali
Valsad,115,Valsad
Varanasi,604,Varanasi
Vellore,629,Vellore
Vidisha,50,Vidisha
Vikarabad,681,Vikarabad
Viluppuram,632,Viluppuram
Virudhunagar,546,Virudhunagar
Visakapatnam,125,Visakhapatnam
Vizianagaram,131,Vizianagaram
Wanaparthy,683,Wanaparthy
Warangal,676,Warangal (R)
Warangal (U),677,Warangal (U)
Wardha,470,Wardha
Washim,448,Washim
Wayanad,371,Wayanad
West,708,West
Gyalshing,375,West District
West Garo Hills,312,West Garo Hills
West Godavari,133,West Godavari
West Jaintia Hills,315,West Jaintia Hills
West Kameng,236,West Kameng
West Khasi Hills,310,West Khasi Hills
West Siang,225,West Siang
West Tripura,301,West Tripura
Wokha,294,Wokha
Yadadri Bhongiri,679,Yadadri Bhongiri
YADGIR,421,Yadgir
Yamunanagar,198,Yamunanagar
Yanam,267,Yanam
Yavatmal,459,Yavatmal
Zunheboto,295,Zunheboto
