year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days
2012,22,17,160,11872,12032,7990102.0
2012,22,18,136,9044,9180,7839194.0
2012,22,19,92,14142,14234,8022511.0
2012,22,21,25,2862,2887,3124595.0
2012,22,23,52,4259,4311,3620580.0
2012,22,24,78,5848,5926,5622777.0
2012,22,26,0,7958,7958,4873857.0
2012,23,1,3902,20918,24820,15493069.0
2012,23,2,196,5176,5372,4706066.0
2012,23,3,331,5220,5551,4569713.0
2012,23,4,59,3460,3519,2233921.0
2012,23,5,189,2174,2363,1773724.0
2012,23,6,52,1281,1333,1109137.0
2012,23,7,37,4847,4884,2781649.0
2012,23,8,8,974,982,1060271.0
2012,23,9,18,3017,3035,1939107.0
2012,23,10,51,8438,8489,2862520.0
2012,23,11,362,4892,5254,4212172.0
2012,23,12,57,2639,2696,2286559.0
2012,23,13,198,3546,3744,2450105.0
2012,23,14,33,8461,8494,6616231.0
2012,23,15,1071,9100,10171,8571942.0
2012,23,16,165,7157,7322,7493122.0
2012,23,17,260,2477,2737,3227636.0
2012,23,18,52,5101,5153,4907001.0
2012,23,19,236,5944,6180,5954665.0
2012,23,20,203,9390,9593,8080456.0
2012,23,21,634,7430,8064,5482266.0
2012,23,22,144,2308,2452,2062317.0
2012,23,23,112,10351,10463,7085169.0
2012,23,24,170,4210,4380,3900218.0
2012,23,25,39,4255,4294,3547438.0
2012,23,26,145,4148,4293,3694939.0
2012,23,27,385,7732,8117,4075159.0
2012,23,28,228,5094,5322,3787291.0
2012,23,29,322,6532,6854,5558683.0
2012,23,30,253,4581,4834,4035439.0
2012,23,31,809,3702,4511,4766916.0
2012,23,32,1098,8788,9886,8659912.0
2012,23,33,400,4172,4572,4595111.0
2012,23,34,292,10851,11143,5992417.0
2012,23,35,475,5925,6400,5972657.0
2012,23,36,208,9535,9743,6043997.0
2012,23,37,73,6697,6770,4693617.0
2012,23,38,72,9837,9909,7518540.0
2012,23,39,278,6284,6562,5602597.0
2012,23,40,64,8310,8374,8784017.0
2012,23,41,149,4861,5010,2728785.0
2012,23,42,614,6805,7419,6274187.0
2012,23,43,806,16824,17630,10096754.0
2012,23,44,1161,19501,20662,12995342.0
2012,23,45,1005,16718,17723,13979033.0
2012,23,46,1873,14034,15907,11602801.0
2012,23,47,5885,36537,42422,26257827.0
2012,23,48,188,1644,1832,2630155.0
2012,23,49,29,2099,2128,1541995.0
2012,23,50,1129,53360,54489,16984371.0
2012,24,1,0,218,218,60440.0
2012,24,2,0,27,27,16447.0
2012,24,3,0,71,71,12617.0
2012,24,4,0,570,570,265665.0
2012,25,1,21,758,779,337565.0
2012,25,2,113,1353,1466,1124406.0
2012,25,3,9,32,41,24466.0
2012,25,4,5,24,29,29742.0
2012,25,5,1,1,2,643.0
2012,25,6,0,2,2,3764.0
2012,25,9,2,4,6,5734.0
2012,26,1,485,9452,9937,4486463.0
2012,26,2,846,4182,5028,3866748.0
2012,26,3,954,6943,7897,5342499.0
2012,26,4,1828,7900,9728,5784134.0
2012,26,5,1784,10680,12464,5682473.0
2012,26,6,905,15699,16604,8849855.0
2012,26,7,843,4148,4991,3374931.0
2012,26,8,1826,19216,21042,12894769.0
2012,26,9,1794,9800,11594,7121026.0
2012,26,10,747,7701,8448,4595817.0
2012,26,11,504,6226,6730,4549419.0
2012,27,1,210,19370,19580,11378773.0
2012,29,1,246,9827,10073,6906525.0
2012,29,2,1228,37431,38659,24743235.0
2012,29,3,1107,9892,10999,11515560.0
2012,29,4,649,11867,12516,9160733.0
2012,29,5,604,8558,9162,9131137.0
2012,29,6,552,5770,6322,5883310.0
2012,29,7,944,4496,5440,5381491.0
2012,29,8,116,7323,7439,5884666.0
2012,29,9,1946,20140,22086,15214275.0
2012,29,10,1259,12846,14105,11230119.0
2012,30,1,653,13806,14459,5949959.0
2012,30,2,242,11937,12179,3048241.0
2012,31,1,0,241,241,84700.0
2012,31,2,0,1091,1091,463586.0
2012,32,1,0,790,790,674303.0
2012,33,1,0,6,6,12904.0
2012,33,2,0,6,6,14346.0
