year,state_code,dist_code,mean_decision_days
2018,8,4,85.99280457890433
2018,8,5,41.69105521344328
2018,8,6,65.59225947124557
2018,8,7,90.06018136850784
2018,8,9,93.25051105742428
2018,8,10,58.6288679245283
2018,8,11,44.69234107181601
2018,8,12,39.048736051013435
2018,8,13,78.6762814624288
2018,8,14,39.28771112405358
2018,8,15,88.71016081871345
2018,8,16,99.65892696122633
2018,8,17,67.16478190630049
2018,8,18,84.39935669544607
2018,8,19,44.84221748400853
2018,8,20,81.82010869565218
2018,8,21,72.21316165951359
2018,8,22,100.84586466165413
2018,8,23,49.0807891028652
2018,8,24,57.94474366646719
2018,8,25,88.82080659945005
2018,8,26,71.52568659127625
2018,8,27,65.23490312544195
2018,8,28,57.006001263423876
2018,8,29,99.03686087990488
2018,8,30,62.901378579003186
2018,8,31,42.603257490985946
2018,8,33,63.57364953886693
2018,8,34,105.87511190689347
2018,8,35,52.83929225137279
2018,8,36,70.05474732006125
2018,8,37,181.94773519163763
2018,8,38,89.89891234804863
2018,8,39,161.67664670658684
2018,9,1,70.52921535893155
2018,9,2,89.6230347156273
2018,9,3,47.2974815527751
2018,9,4,46.29676365795724
2018,9,5,32.65115651156511
2018,9,6,55.025733634311514
2018,9,7,56.86246010311809
2018,9,8,32.7356242045586
2018,9,9,50.135649756775535
2018,9,10,34.91949079649063
2018,9,11,47.57275703020383
2018,9,12,38.76951250315736
2018,9,13,66.70867240176703
2018,9,14,33.95645782494928
2018,9,18,54.567579849389766
2018,9,19,19.498460836848704
2018,9,20,23.656815020862304
2018,9,21,42.54586709886547
2018,9,22,40.189178963299284
2018,9,23,47.80989081567116
2018,9,24,51.61352063213345
2018,9,25,45.51631944444444
2018,9,26,43.48835056318469
2018,9,27,49.74509261819186
2018,9,28,96.86636326023996
2018,9,29,42.247057267557196
2018,9,30,43.01695832581634
2018,9,31,38.49145266385588
2018,9,32,21.103879026955948
2018,9,33,48.88157575757575
2018,9,34,43.60545327429504
2018,9,35,41.10068444956182
2018,9,36,45.422148125694655
2018,9,38,97.17354164325053
2018,9,39,13.36916511069618
