,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_disposition_days,case_pendency_rate,case_disposition_rate,judges_count,cases_per_judge
56,3,5,42631,180187,222818,43562727.0,241.76398408320244,0.1913265535100395,0.8086734464899604,115,1937.5478260869565
57,3,6,29744,143220,172964,47541636.0,331.94830330959365,0.1719664207580768,0.8280335792419232,228,758.6140350877193
58,3,7,23352,86225,109577,23900341.0,277.1857465932154,0.2131104155069038,0.7868895844930962,46,2382.108695652174
59,3,8,14806,67769,82575,18674471.0,275.5606693325857,0.1793036633363608,0.8206963366636392,146,565.582191780822
60,3,9,37860,209612,247472,56639286.0,270.21013109936456,0.1529870045904183,0.8470129954095816,167,1481.868263473054
61,3,10,28339,157238,185577,47289247.0,300.7494816774571,0.1527075014683931,0.8472924985316068,261,711.0229885057471
62,3,11,28205,152236,180441,51235404.0,336.55248430069105,0.1563114813152221,0.8436885186847779,149,1211.013422818792
63,3,12,42450,256661,299111,60707433.0,236.5276882736372,0.1419205579199695,0.8580794420800305,309,967.9967637540453
64,3,13,25993,155836,181829,41514096.0,266.3960573936703,0.1429529942968393,0.8570470057031606,202,900.1435643564356
65,3,14,31512,192658,224170,49115866.0,254.9381079425718,0.1405718874068787,0.8594281125931212,152,1474.8026315789473
66,3,15,49618,260902,310520,74156487.0,284.2311940882017,0.1597900296277212,0.8402099703722787,242,1283.1404958677685
67,3,16,25309,155437,180746,33626387.0,216.3345085147037,0.1400252287740807,0.8599747712259193,104,1737.9423076923076
68,3,17,27539,138245,165784,42029106.0,304.0189952620348,0.1661137383583458,0.8338862616416542,213,778.3286384976526
69,3,18,68300,299528,367828,82523190.0,275.5107702785716,0.1856846134606392,0.8143153865393608,250,1471.312
70,3,19,33849,139048,172897,46311158.0,333.0587854553823,0.1957755195289681,0.8042244804710319,170,1017.0411764705882
71,3,20,241058,1418851,1659909,423549167.0,298.51560664227605,0.1452236237046729,0.854776376295327,780,2128.0884615384616
72,3,21,123541,239873,363414,74066975.0,308.7757896887103,0.339945626750758,0.6600543732492419,142,2559.2535211267605
73,3,22,63743,221147,284890,74580216.0,337.2427209050993,0.223746007230861,0.776253992769139,197,1446.1421319796955
74,3,23,59793,325544,385337,84940303.0,260.9180418008011,0.1551706687912139,0.8448293312087861,229,1682.6943231441048
75,3,24,49674,191740,241414,51884694.0,270.5992176906227,0.2057627146727199,0.7942372853272801,212,1138.745283018868
76,3,25,11149,72419,83568,20119772.0,277.82449357212886,0.1334123109324143,0.8665876890675857,129,647.8139534883721
77,3,26,104425,316726,421151,115093431.0,363.3848531538301,0.2479514473431144,0.7520485526568855,315,1336.9873015873015
78,3,27,23721,90436,114157,29214301.0,323.0384028484232,0.2077927766146622,0.7922072233853378,65,1756.2615384615385
79,3,28,36280,93672,129952,36726474.0,392.0752626184986,0.2791800049248953,0.7208199950751046,122,1065.1803278688524
80,3,29,35036,103281,138317,33006589.0,319.58045526282666,0.2533021971268896,0.7466978028731103,118,1172.177966101695
81,3,30,10880,52756,63636,14344321.0,271.89932898627643,0.1709724055566031,0.8290275944433968,72,883.8333333333334
82,4,1,19582,130495,150077,42560247.0,326.1446568834055,0.1304796870939584,0.8695203129060416,128,1172.4765625
83,4,2,153556,345401,498957,161583154.0,467.8132199964679,0.3077539747914148,0.6922460252085851,520,959.5326923076923
84,4,3,51008,221340,272348,81197308.0,366.8442577030812,0.1872897910026877,0.8127102089973123,175,1556.2742857142857
85,4,4,147148,392709,539857,188343954.0,479.6018273072428,0.2725684764669162,0.7274315235330837,176,3067.369318181818
86,4,5,50808,303868,354676,98005523.0,322.52663327497464,0.1432518693117098,0.8567481306882901,243,1459.5720164609054
