state_code,dist_code,mean_decision_days
9,30,200.81394945060396
9,31,178.72682956929532
9,32,106.68354626803911
9,33,156.56588076476314
9,34,166.2803646563815
9,35,142.99697806941805
9,36,142.66349454917787
9,38,260.12519266997776
9,39,94.08458336946154
9,40,175.9587626279521
10,1,258.856332256285
10,2,237.71722619702805
10,3,146.40843945825753
10,4,78.75598688824952
10,5,240.88957098504093
10,6,177.75082979900424
10,7,182.85884031722512
10,8,178.22802533065075
10,9,154.04328642720984
10,10,268.4119187626624
10,11,160.7155751695293
10,12,297.0212919876432
10,13,310.6321833895675
10,14,115.95486213666453
10,15,147.93305723744666
10,16,159.5464692659484
10,17,152.55191388001552
10,18,275.6977648024815
10,19,243.39978238460657
10,20,292.05749158869327
10,21,127.14480503947054
10,22,204.08697359029264
10,23,158.06993006993008
10,24,267.49459390862944
10,25,127.9912461221857
10,26,129.11790846955483
10,27,169.3605757300025
10,28,263.37372515125327
10,29,134.6244010195412
10,30,131.93497052334624
10,31,226.2957883450116
10,32,339.8108387096774
10,33,181.7196405161112
11,1,223.37749098500663
11,2,254.37299444003176
11,3,298.4637825294215
11,4,211.21711247310955
11,5,208.94836250801038
11,6,220.48769665187575
11,7,338.3672650686992
11,8,219.24439650005993
11,9,227.84858445551905
11,10,248.60880468096963
11,11,239.5208696916812
11,12,224.44698512137822
11,13,237.1143866113926
11,14,286.55142602495545
11,15,224.38018894932722
11,16,197.98856591116984
11,17,244.67126794039675
11,18,224.98191975012014
11,19,278.7458581309313
11,20,261.4683222802314
11,21,161.82229549201296
11,22,201.17989203778677
11,23,241.21481290765533
11,24,157.86951686642777
11,26,314.3087140838436
11,27,218.41342159916925
11,29,320.2516592318573
11,30,267.21659538066723
11,31,211.2180407928756
11,32,215.42581602373886
12,1,243.50044033465434
12,2,166.08131816026554
12,3,252.67463963250435
12,4,90.33933043553355
12,5,259.3383010432191
12,6,146.41382630464085
12,7,235.78160556257902
12,8,220.6972744112199
12,9,238.95718816067654
12,10,135.17239983812223
12,11,221.3623287671233
12,12,332.4774706550549
12,13,361.2906596995428
12,14,252.60909649661954
12,15,160.40877757352942
12,16,238.98133333333334
12,17,240.60591133004925
12,18,355.64927536231886
12,19,347.9712542458171
12,20,284.6348140495868
12,21,299.8960880195599
12,22,281.3056286165176
13,1,153.36009421160176
13,2,156.09868899899155
13,3,130.82171155579394
13,4,256.63479037333104
13,5,141.73459608771634
13,6,149.20722493385423
13,7,199.97928309765825
13,8,187.2088903868479
13,9,112.6050916496945
13,10,254.08051019335065
13,11,283.12237431400996
13,12,197.8927283998806
13,13,149.20890177353343
13,14,201.62604312038962
13,15,217.92034294920975
13,16,129.06783642904338
13,17,211.22827402565966
13,18,155.6087415122948
13,19,317.07228414706304
13,20,168.03082306207307
13,21,222.44245214441483
13,22,135.2898448519041
13,23,221.48275169470247
13,24,223.30093579978237
13,25,150.41442377205155
13,26,196.04672110991757
13,27,145.45395730248333
13,28,236.2670427673806
13,29,167.3139807193852
13,30,128.18516040096895
13,31,126.71159835193532
13,33,203.21484821969443
13,34,175.0644776342041
13,35,206.64039967402474
13,36,142.81463643548705
13,37,271.3699043310241
13,38,133.61222543271523
13,39,183.28450754852625
13,40,197.36748867366595
13,41,309.3930327122656
13,42,178.67503858933102
13,43,127.30966261556317
13,44,196.75843884254314
13,45,243.50428163653663
13,46,145.03926205188836
13,47,239.51161921375615
13,48,130.2284117879747
13,49,130.74299944443902
13,50,160.98596733847185
13,51,142.46777433955293
13,52,143.14962462254482
13,53,151.72703621534484
13,54,114.7878316851782
13,55,187.73490591370086
13,56,112.78910890044624
13,57,226.34126172420673
13,58,122.72941815548045
13,59,140.3652405810259
13,60,178.20450524619454
13,61,179.83112563112564
13,62,195.6130431076733
13,63,155.73904544356344
13,64,154.47687755698422
13,65,164.46488831753175
13,66,99.95763681630507
13,67,253.923653823261
13,68,170.0536097332082
13,69,191.16471759144065
13,70,230.38192600138248
13,71,177.55757896594318
13,73,151.3924458897537
13,74,315.44137399537595
13,75,373.02351916376307
13,76,259.913645965357
14,1,164.37214392913356
14,2,186.07587771793337
14,3,171.4937591451248
14,4,205.9738769947186
14,5,193.55821169714326
14,6,214.00025816944952
14,7,175.52170197077356
14,8,227.27534865054682
14,9,188.1927806493024
14,10,194.68549350004696
14,11,265.25724869416905
14,12,177.0045843129925
14,13,241.1635754011549
14,14,133.98073870922687
14,15,137.98513076438994
14,16,222.67007204200416
14,17,199.66005907449951
14,18,228.17590477335577
14,19,240.1792646792042
14,20,244.56235595834272
14,23,234.01061773574207
15,1,144.34007058068656
15,2,161.74308532997057
15,3,110.01785714285714
15,4,236.5548528683012
15,5,199.59088781401155
15,6,132.519025632861
15,7,113.5422943221321
15,8,122.34625228519195
15,9,240.66643875912294
15,13,72.58057501812031
15,14,93.91763005780346
15,15,124.06248537327404
15,16,
16,1,171.29445370149963
16,2,206.27810909599677
16,3,356.25865168539326
16,4,139.17241585460633
16,6,137.19614302161955
16,7,132.6728019549732
16,8,286.6046228710462
16,9,234.54457050243113
16,10,120.12595479959052
16,11,120.85540177139615
16,12,210.48285871295917
16,13,101.62286602779717
16,14,232.3387057872111
16,17,179.9011795953441
16,18,223.2775058703709
16,19,283.81194134486185
16,20,216.07247994360714
16,21,171.35384371029224
16,22,221.19427635470223
16,23,162.0705596107056
16,24,209.8414679124662
16,25,291.8093418259023
17,11,187.7982390258713
17,13,198.9277174417979
17,14,159.86790162887257
17,15,181.0521930685511
17,16,195.01954934835504
17,17,171.52446611366042
17,18,151.5641808978423
17,19,175.78632459080146
17,20,136.12358252834943
17,21,174.33317847675784
17,22,171.25992136759564
17,23,216.67271560092692
