year,state_code,state_name,dist_code,district_name
2010,4,Kerala,2,Ernakulam
2010,10,Tamil Nadu,24,Erode
2010,13,Uttar Pradesh,25,Etah
2010,13,Uttar Pradesh,33,Etawah
2010,13,Uttar Pradesh,49,Faizabad
2010,14,Haryana,5,Faridabad
2010,22,Punjab,9,Faridkot
2010,13,Uttar Pradesh,63,Farrukhabad
2010,14,Haryana,15,Fatehabad
2010,22,Punjab,4,Fatehgarh Sahib
2010,13,Uttar Pradesh,9,Fatehpur
2010,22,Punjab,26,Fazilka
2010,22,Punjab,6,Ferozepur
2010,13,Uttar Pradesh,29,Firozabad
2010,3,Karnataka,8,GADAG
2010,17,Gujarat,11,GANDHINAGAR
2010,1,Maharashtra,12,Gadchiroli
2010,11,Orissa,9,Gajapati
2010,12,Jammu and Kashmir,7,Ganderbal
2010,9,Rajasthan,7,Ganganagar
2010,24,Sikkim,4,Gangtok
2010,11,Orissa,4,Ganjam
2010,7,Jharkhand,20,Garhwa
2010,13,Uttar Pradesh,20,Gautam Buddha Nagar
2010,8,Bihar,35,Gaya
2010,13,Uttar Pradesh,8,Ghaziabad
2010,13,Uttar Pradesh,28,Ghazipur
2010,17,Gujarat,37,Gir Somnath at Veraval
2010,7,Jharkhand,10,Giridih
2010,6,Assam,18,Goalpara
2010,7,Jharkhand,6,Godda
2010,6,Assam,19,Golaghat
2010,20,Tripura,6,Gomati District
2010,13,Uttar Pradesh,50,Gonda
2010,1,Maharashtra,11,Gondia
2010,8,Bihar,23,Gopalganj
2010,13,Uttar Pradesh,3,Gorakhpur
2010,7,Jharkhand,5,Gumla
2010,23,Madhya Pradesh,30,Guna
2010,2,Andhra Pradesh,5,Guntur
2010,22,Punjab,10,Gurdaspur
2010,14,Haryana,6,Gurugram
2010,23,Madhya Pradesh,44,Gwalior
2011,24,Sikkim,3,Gyalshing
2010,3,Karnataka,23,HASSAN
2010,3,Karnataka,11,HAVERI
2010,6,Assam,21,Hailakandi
2010,5,Himachal Pradesh,1,Hamirpur
2010,13,Uttar Pradesh,64,Hamirpur
2010,9,Rajasthan,11,Hanumangarh
2010,13,Uttar Pradesh,73,Hapur
2010,23,Madhya Pradesh,4,Harda
2010,13,Uttar Pradesh,4,Hardoi
2010,15,Uttarakhand,9,Haridwar
2010,13,Uttar Pradesh,65,Hathras
2010,7,Jharkhand,7,Hazaribagh
2010,14,Haryana,7,Hisar
2010,16,West Bengal,2,Hooghly
2010,23,Madhya Pradesh,3,Hoshangabad
2010,22,Punjab,18,Hoshiarpurr
2010,16,West Bengal,11,Howrah
2010,29,Telangana,2,Hyderabad
2010,4,Kerala,7,Idukki
2010,25,Manipur,1,Imphal East
2010,25,Manipur,2,Imphal West
2010,23,Madhya Pradesh,47,Indore
2010,23,Madhya Pradesh,1,Jabalpur
2010,11,Orissa,14,Jagatsinghpur
2010,9,Rajasthan,38,Jaipur District
2010,9,Rajasthan,4,Jaipur Metro
2010,9,Rajasthan,40,Jaipur Metro II
2010,9,Rajasthan,32,Jaiselmer
2010,11,Orissa,19,Jajpur
2010,22,Punjab,2,Jalandhar
2010,13,Uttar Pradesh,70,Jalaun
2010,1,Maharashtra,3,Jalgaon
2010,1,Maharashtra,18,Jalna
2010,9,Rajasthan,21,Jalore
2010,16,West Bengal,4,Jalpaiguri
2010,12,Jammu and Kashmir,19,Jammu
2010,17,Gujarat,23,Jamnagar
2010,7,Jharkhand,12,Jamtara
2010,8,Bihar,15,Jamui
2010,18,Chhattisgarh,18,Janjgir
2010,18,Chhattisgarh,16,Jashpur
2010,13,Uttar Pradesh,12,Jaunpur
2010,8,Bihar,36,Jehanabad
2010,23,Madhya Pradesh,9,Jhabua
2010,14,Haryana,8,Jhajjar
2010,9,Rajasthan,22,Jhalawar
2010,13,Uttar Pradesh,66,Jhansi
2010,16,West Bengal,25,Jhargram
2010,11,Orissa,12,Jharsuguda
2010,9,Rajasthan,18,Jhunjhunu
2010,14,Haryana,9,Jind
2010,9,Rajasthan,39,Jodhpur District
2010,9,Rajasthan,28,Jodhpur Metro
2010,6,Assam,11,Jorhat
2010,17,Gujarat,24,Junagadh
2010,13,Uttar Pradesh,35,Jyotiba Phule Nagar
2010,3,Karnataka,4,KALABURAGI
2010,7,Jharkhand,24,KHUNTI
2010,3,Karnataka,25,KODAGU
2010,3,Karnataka,19,KOLAR
2010,3,Karnataka,7,KOPPAL
2010,2,Andhra Pradesh,7,Kadapa
2010,8,Bihar,2,Kaimur at Bhabhua
2010,14,Haryana,16,Kaithal
2010,11,Orissa,10,Kalahandi
2010,6,Assam,23,Kamrup
2010,6,Assam,1,Kamrup Metro
2010,10,Tamil Nadu,31,Kancheepuram
2010,11,Orissa,23,Kandhamal
2010,5,Himachal Pradesh,2,Kangra
2010,18,Chhattisgarh,13,Kanker
