district_name,decision_time
Karauli,42.2470572675572
Chittorgarh,43.01695832581634
Bhilwara,38.49145266385588
Jaiselmer,21.103879026955948
Churu,48.88157575757575
Dholpur,43.60545327429504
Sikar,41.10068444956182
Sawai Madhopur,45.422148125694655
Jaipur District,97.17354164325052
Jodhpur District,13.36916511069618
Jaipur Metro II,86.33155555555555
Dharmapuri,92.82430316316945
Pudukkottai,57.087555814404965
Tirunelveli,43.86342909256726
Theni,27.87895555939823
Namakkal,140.4080808080808
Nagapattinam,41.668463006624
Kanniyakumari,51.16104010577346
Tiruchirappalli,65.26335133513352
Thoothukudi,40.987800139871005
Viluppuram,103.44977084107518
Vellore,52.07004801920768
Salem,69.15771913861086
Chennai,141.1005356407087
Virudhunagar,32.0
Madurai,38.1822218023805
The Nilgiris,43.9388135142325
Thanjavur,54.96467958271237
Coimbatore,90.31281487588166
Karur,80.32821202227771
Cuddalore,104.66256476683938
Ramanathapuram,45.86541837331773
Tiruvannamalai,44.63642269380684
Perambalur,19.173265758631608
Erode,101.2812570909916
Tiruvarur,30.967753450737742
Krishnagiri,51.540170085042526
Dindigul,34.58977094446188
Puducherry,104.0621212121212
Sivagangai,28.45683704335685
Ariyalur,56.95375185735513
Kancheepuram,60.922271169848266
Tiruvallur,120.04406677695891
Tiruppur,85.6790366815221
Cuttack,102.71665062560156
Kendrapada,94.45482156416097
Nuapada,131.25794621026895
Ganjam,44.59173590837638
Balasore,92.05934343434345
Koraput,64.22257425742573
Dhenkanal,91.24646464646464
Khurda,76.02834366696192
Gajapati,112.62633451957296
Kalahandi,148.4590368980613
Sambalpur,61.399377593361
Jharsuguda,52.47817047817048
Keonjhar,108.55365474339035
Jagatsinghpur,172.5254739336493
Puri,81.81654228855722
Sundargarh,58.48798235942668
Balangir,72.58922030350602
Bhadrak,90.41974656810982
Jajpur,85.5976401179941
Sonepur,164.8514619883041
Rayagada,87.77212806026365
Nayagarh,77.4930612244898
Kandhamal,90.33092948717947
Boudh,71.64683544303797
Mayurbhanj,120.25940594059404
Anugul,88.4316338354577
Bargarh,47.575945443273405
Deogarh,71.07142857142857
Malkangiri,91.4506172839506
Nabarangpur,166.55038759689924
Kathua,110.80882352941175
Udhampur,57.78280680437424
Baramulla,81.90326481257559
Anantnag,45.90575916230366
Srinagar,78.09149623250808
Pulwama,91.23117395593556
Ganderbal,70.3718309859155
Budgam,79.54961089494164
Reasi,156.86970684039088
Shopian,34.63115264797507
Kupwara,83.53591160220994
Poonch,128.0863309352518
Rajouri,152.5459140690817
