Name,Unique-ID,mean_decision_days
Kishtwar,85,162.41056910569105
Allahabad,636,37.11071353399284
Bareilly,575,45.14569830199374
Gorakhpur,591,38.24642115906551
Hardoi,578,102.25058566927862
Chitrakoot,589,74.75357940365164
Meerut,568,41.36974405128448
Bahraich,563,88.24790511795797
Ghaziabad,621,61.50872916730143
Fatehpur,617,45.0304607109448
Shrawasti,567,123.37760416666669
Jaunpur,609,72.50716288554678
Pilibhit,584,68.94461990451707
Mainpuri,585,68.9238661424873
Ambedkar Nagar,595,65.50442140085248
Sitapur,565,39.27083413378414
Auraiya,600,49.946490829164766
Budaun,561,55.51409611564309
Kanpur Nagar,597,93.75119494708092
Gautam Buddha Nagar,623,60.15086098699734
Ballia,596,62.432680107147895
Sant Ravidas Nagar (Bhadohi),598,55.64668234064786
Lalitpur,641,81.21634014172572
Lucknow,592,73.706224945163
Etah,577,49.60534647765705
Muzaffarnagar,622,89.25066231013777
Varanasi,604,64.50740842574773
Ghazipur,642,72.19373454245672
Firozabad,587,43.03621103117506
Agra,626,69.4480213172014
Etawah,625,60.24288072637227
Kushinagar,614,89.81628051624942
Jyotiba Phule Nagar,586,93.26910150123236
Bara Banki,610,72.41087487344411
Kaushambi,602,133.5264730999146
Mahoba,611,55.84498770827642
Banda,639,72.9370312065932
Kanshiram Nagar,562,124.88194444444444
Deoria,615,169.09507137085913
Mau,618,66.3815751235106
Aligarh,569,45.67456927239072
Azamgarh,593,62.64697716894977
Baghpat,572,98.72322445879226
Basti,590,36.1950250220783
Bijnor,571,124.2089309878214
Bulandshahr,570,47.68335391177461
Faizabad,594,28.231091147504387
Gonda,607,66.15559482689373
Kanpur Dehat,608,88.82638704539421
Mahrajganj,612,84.24238935789205
Mathura,576,64.96540321236036
Moradabad,559,33.73996775145913
Rae Bareli,619,87.86861966791524
Rampur,574,55.25644699140402
Saharanpur,624,115.74207479555272
Shahjahanpur,581,65.14819126819127
Siddharthnagar,599,45.04536469658035
Sonbhadra,640,69.89405460207111
Sultanpur,588,49.86699795381468
Unnao,616,99.99851601325236
Farrukhabad,582,78.10497900419915
Mahamaya Nagar,580,107.38800083039236
Jhansi,638,45.33630515743143
Balrampur,328,70.89527513684817
Balrampur,579,70.89527513684817
Mirzapur,613,53.60951405843901
Kannauj,583,85.09921313718782
Jalaun,603,113.80968889699844
Sant Kabir Nagar,601,93.70806241872562
Hapur,564,79.24597056762438
Sambhal,560,121.76790440898436
Chandauli,637,277.4462102689487
Samli,566,243.4419486872317
Karnal,206,82.44086909826923
Sirsa,213,86.80740271062852
Ambala,217,71.10473421079482
Bhiwani,203,61.687740516767455
Faridabad,212,72.43124538478827
Gurgaon,197,130.68124175130544
Hisar,214,82.29362751943397
Jhajjar,202,118.87297088379285
Jind,208,64.05970677810043
Kurukshetra,207,203.62380125086867
Mahendragarh,210,68.46476426799006
Rohtak,216,104.1520756740196
Sonipat,205,99.51331036642657
Panchkula,200,68.81380910145323
Fatehabad,211,83.0564857582756
Kaithal,204,70.2750792514572
Rewari,215,60.75232774674116
Panipat,209,86.46870720902135
Mewat,201,74.00601360974838
Yamunanagar,198,97.38479875309434
Palwal,199,74.07128737336299
Nainital,345,57.5424908829705
Garhwal,350,79.30413223140495
Tehri Garhwal,353,33.170529327610865
Udham Singh Nagar,357,87.31150067424389
Dehradun,346,114.16153505721692
Uttarkashi,349,62.96411764705882
Almora,347,76.04201680672269
Chamoli,356,107.12833545108003
Hardwar,351,107.03143358972804
Champawat,348,56.0280535174795
Bageshwar,354,54.52456418383519
