Old_name,id_1,Name,id_2
Jhalawar,647,Jhalawar,647
Jhansi,638,Jhansi,638
Jhargram,716,Jhargram,716
Jharsuguda,511,Jharsuguda,511
Jhunjhunu,514,Jhunjhunun,514
Jind,208,Jind,208
Jiribam,703,Jiribam,703
Jodhpur District,521,Jodhpur,521
Jogulamba,682,Jogulamba,682
Jorhat,266,Jorhat,266
Junagadh,108,Junagadh,108
Jyotiba Phule Nagar,586,Jyotiba Phule Nagar,586
Kawardha,323,Kabeerdham,323
kachchh at Bhuj,102,Kachchh,102
Kadapa,134,Kadapa(YSR),134
Kaimur at Bhabhua,186,Kaimur (Bhabua),186
Kaithal,204,Kaithal,204
Kakching,702,Kakching,702
Kalahandi,503,Kalahandi,503
kalimpong,718,Kalimpong,718
Kallakurichi,733,Kallakurichi,733
Kamareddy,667,Kamareddy,667
Kamjong,700,Kamjong,700
Kamle,723,Kamle,723
Kamrup,257,Kamrup,257
Kamrup Metro,263,Kamrup Metropolitan,263
Kancheepuram,633,Kancheepuram,633
Kandhamal,492,Kandhamal,492
Kangpokpi,286,Kangpokpi,286
Kangra,59,Kangra,59
Kannauj,583,Kannauj,583
Kanniyakumari,634,Kanniyakumari,634
Kannur,358,Kannur,358
Kanpur Dehat,608,Kanpur Dehat,608
Kanpur Nagar,597,Kanpur Nagar,597
Kanshi Ram Nagar,562,Kanshiram Nagar,562
Kapurthala,400,Kapurthala,400
Karaikal,268,Karaikal,268
Karauli,653,Karauli,653
Karbi Anglong East,250,Karbi Anglong East,250
Karbi Anglong,693,Karbi Anglong West,693
Kargil,84,Kargil,84
Karimganj,244,Karimganj,244
Karimnagar,658,Karimnagar,658
Karnal,206,Karnal,206
Karur,556,Karur,556
Kasaragod,363,Kasaragod,363
Kathua,83,Kathua,83
Katihar,196,Katihar,196
Katni,37,Katni,37
Kaushambi,602,Kaushambi,602
Kendrapada,505,Kendrapara,505
Keonjhar,506,Kendujhar,506
Khagaria,188,Khagaria,188
Khammam,674,Khammam,674
Khandwa,32,Khandwa (East Nimar),32
Mandleshwar,26,Khargone (West Nimar),26
Khawzawl,729,Khawzawl,729
Kheda at Nadiad,120,Kheda,120
Kheri,573,Kheri,573
Khurda,493,Khordha,493
Khowai Tripura,299,Khowai,299
KHUNTI,139,Khunti,139
Kinnaur,54,Kinnaur,54
Kiphire,296,Kiphire,296
Kishanganj,163,Kishanganj,163
Kishtwar,85,Kishtwar,85
Coochbehar,393,Koch Bihar,393
KODAGU,441,Kodagu,441
Koderma,144,Kodarma,144
Kohima,293,Kohima,293
Kokrajhar,265,Kokrajhar,265
KOLAR,427,Kolar,427
Kolasib,272,Kolasib,272
Kolhapur,455,Kolhapur,455
Calcutta,380,Kolkata,380
Kollam,362,Kollam,362
Komaram Bheem,665,Komaram Bheem,665
Kondagaon,329,Kondagaon,329
KOPPAL,445,Koppal,445
Koraput,488,Koraput,488
Korba,339,Korba,339
Koriya,337,Koriya,337
Kota,529,Kota,529
