state_code,dist_code,year,state_name,district_name,judges_count
10,11,2018,Tamil Nadu,Vellore,63
10,12,2018,Tamil Nadu,Salem,74
10,13,2018,Tamil Nadu,Chennai,206
10,14,2018,Tamil Nadu,Virudhunagar,45
10,15,2018,Tamil Nadu,Madurai,60
10,16,2018,Tamil Nadu,The Nilgiris,17
10,17,2018,Tamil Nadu,Thanjavur,67
10,18,2018,Tamil Nadu,Coimbatore,84
10,19,2018,Tamil Nadu,Karur,30
10,20,2018,Tamil Nadu,Cuddalore,44
10,21,2018,Tamil Nadu,Ramanathapuram,38
10,22,2018,Tamil Nadu,Tiruvannamalai,23
10,23,2018,Tamil Nadu,Perambalur,18
10,24,2018,Tamil Nadu,Erode,61
10,25,2018,Tamil Nadu,Tiruvarur,19
10,26,2018,Tamil Nadu,Krishnagiri,32
10,27,2018,Tamil Nadu,Dindigul,29
10,28,2018,Tamil Nadu,Puducherry,32
10,29,2018,Tamil Nadu,Sivagangai,25
10,30,2018,Tamil Nadu,Ariyalur,33
10,31,2018,Tamil Nadu,Kancheepuram,41
10,32,2018,Tamil Nadu,Tiruvallur,35
10,33,2018,Tamil Nadu,Tiruppur,39
11,1,2018,Orissa,Cuttack,67
11,2,2018,Orissa,Kendrapada,14
11,3,2018,Orissa,Nuapada,10
11,4,2018,Orissa,Ganjam,56
11,5,2018,Orissa,Balasore,38
11,6,2018,Orissa,Koraput,27
11,7,2018,Orissa,Dhenkanal,34
11,8,2018,Orissa,Khurda,66
11,9,2018,Orissa,Gajapati,12
11,10,2018,Orissa,Kalahandi,14
11,11,2018,Orissa,Sambalpur,35
11,12,2018,Orissa,Jharsuguda,13
11,13,2018,Orissa,Keonjhar,23
11,14,2018,Orissa,Jagatsinghpur,17
11,15,2018,Orissa,Puri,28
11,16,2018,Orissa,Sundargarh,36
11,17,2018,Orissa,Balangir,35
11,18,2018,Orissa,Bhadrak,18
11,19,2018,Orissa,Jajpur,26
11,20,2018,Orissa,Sonepur,14
11,21,2018,Orissa,Rayagada,17
11,22,2018,Orissa,Nayagarh,25
11,23,2018,Orissa,Kandhamal,22
11,24,2018,Orissa,Boudh,12
11,26,2018,Orissa,Mayurbhanj,30
11,27,2018,Orissa,Anugul,28
11,29,2018,Orissa,Bargarh,30
11,30,2018,Orissa,Deogarh,10
11,31,2018,Orissa,Malkangiri,10
11,32,2018,Orissa,Nabarangpur,10
12,1,2018,Jammu and Kashmir,Kathua,30
12,2,2018,Jammu and Kashmir,Udhampur,28
12,3,2018,Jammu and Kashmir,Baramulla,35
12,4,2018,Jammu and Kashmir,Anantnag,25
12,5,2018,Jammu and Kashmir,Srinagar,59
12,6,2018,Jammu and Kashmir,Pulwama,24
12,7,2018,Jammu and Kashmir,Ganderbal,16
12,8,2018,Jammu and Kashmir,Budgam,22
12,9,2018,Jammu and Kashmir,Reasi,12
12,10,2018,Jammu and Kashmir,Shopian,19
12,11,2018,Jammu and Kashmir,Kupwara,44
12,12,2018,Jammu and Kashmir,Poonch,11
12,13,2018,Jammu and Kashmir,Rajouri,26
12,14,2018,Jammu and Kashmir,Ramban,18
12,15,2018,Jammu and Kashmir,Doda,26
12,16,2018,Jammu and Kashmir,Leh,8
12,17,2018,Jammu and Kashmir,Kargil,10
12,18,2018,Jammu and Kashmir,Bandipora,10
12,19,2018,Jammu and Kashmir,Jammu,68
12,20,2018,Jammu and Kashmir,Kulgam,12
12,21,2018,Jammu and Kashmir,Samba,17
12,22,2018,Jammu and Kashmir,Kishtwar,9
13,1,2018,Uttar Pradesh,Allahabad,170
13,2,2018,Uttar Pradesh,Bareilly,135
13,3,2018,Uttar Pradesh,Gorakhpur,184
13,4,2018,Uttar Pradesh,Hardoi,97
13,5,2018,Uttar Pradesh,Chitrakoot,43
13,6,2018,Uttar Pradesh,Meerut,177
13,7,2018,Uttar Pradesh,Bahraich,109
13,8,2018,Uttar Pradesh,Ghaziabad,102
13,9,2018,Uttar Pradesh,Fatehpur,101
13,10,2018,Uttar Pradesh,Lakhimpur,52
13,11,2018,Uttar Pradesh,Shravasti,32
13,12,2018,Uttar Pradesh,Jaunpur,94
13,13,2018,Uttar Pradesh,Pilibhit,104
13,14,2018,Uttar Pradesh,Mainpuri,85
13,15,2018,Uttar Pradesh,Ambedkar Nagar,42
13,16,2018,Uttar Pradesh,Sitapur,141
13,17,2018,Uttar Pradesh,Auraiya,59
13,18,2018,Uttar Pradesh,Budaun,116
13,19,2018,Uttar Pradesh,Kanpur Nagar,177
13,20,2018,Uttar Pradesh,Gautam Buddha Nagar,40
13,21,2018,Uttar Pradesh,Ballia,77
13,22,2018,Uttar Pradesh,Bhadohi SR Nagar,71
13,23,2018,Uttar Pradesh,Lalitpur,41
13,24,2018,Uttar Pradesh,Lucknow,237
13,25,2018,Uttar Pradesh,Etah,82
13,26,2018,Uttar Pradesh,Muzaffarnagar,120
13,27,2018,Uttar Pradesh,Varanasi,148
13,28,2018,Uttar Pradesh,Ghazipur,94
13,29,2018,Uttar Pradesh,Firozabad,83
13,30,2018,Uttar Pradesh,Agra,162
13,31,2018,Uttar Pradesh,Pratapgarh,105
13,33,2018,Uttar Pradesh,Etawah,96
13,34,2018,Uttar Pradesh,Kushinagar,58
13,35,2018,Uttar Pradesh,Jyotiba Phule Nagar,45
13,36,2018,Uttar Pradesh,Barabanki,88
13,37,2018,Uttar Pradesh,Kaushambi,37
13,38,2018,Uttar Pradesh,Mahoba,49
13,39,2018,Uttar Pradesh,Banda,86
13,40,2018,Uttar Pradesh,Kanshi Ram Nagar,40
13,41,2018,Uttar Pradesh,Deoria,110
13,42,2018,Uttar Pradesh,Mau,44
13,43,2018,Uttar Pradesh,Aligarh,131
13,44,2018,Uttar Pradesh,Azamgarh,94
13,45,2018,Uttar Pradesh,Baghpat,44
13,46,2018,Uttar Pradesh,Basti,108
13,47,2018,Uttar Pradesh,Bijnor,72
13,48,2018,Uttar Pradesh,Bulandshahr,205
13,49,2018,Uttar Pradesh,Faizabad,110
13,50,2018,Uttar Pradesh,Gonda,114
13,51,2018,Uttar Pradesh,Kanpur Dehat,106
13,52,2018,Uttar Pradesh,Maharajganj,80
13,53,2018,Uttar Pradesh,Mathura,115
13,54,2018,Uttar Pradesh,Moradabad,117
13,55,2018,Uttar Pradesh,Raebareli,66
13,56,2018,Uttar Pradesh,Rampur,56
13,57,2018,Uttar Pradesh,Saharanpur,79
13,58,2018,Uttar Pradesh,Shahjahanpur,121
13,59,2018,Uttar Pradesh,Siddharthnagar,49
13,60,2018,Uttar Pradesh,Sonbhadra,48
13,61,2018,Uttar Pradesh,Sultanpur,88
13,62,2018,Uttar Pradesh,Unnao,74
13,63,2018,Uttar Pradesh,Farrukhabad,89
13,64,2018,Uttar Pradesh,Hamirpur,43
13,65,2018,Uttar Pradesh,Hathras,39
13,66,2018,Uttar Pradesh,Jhansi,111
13,67,2018,Uttar Pradesh,Balrampur,28
