Name,Unique-ID,case_pendency_rate
Hamirpur,62,0.3040661274262409
Hamirpur,606,0.3040661274262409
Kangra,59,0.3285398700029738
Sirmaur,53,0.2213009459301646
Una,51,0.2267432044572007
Solan,52,0.2359328642150533
Mandi,61,0.2540120709227967
Bilaspur,58,0.2599151784235115
Bilaspur,321,0.2599151784235115
Bilaspur,58,0.2109943706602609
Bilaspur,321,0.2109943706602609
Chamba,56,0.1796988652894966
Kinnaur,54,0.302185960591133
Kullu,55,0.2307235989879057
Shimla,57,0.3221977060121446
Kamrup Metropolitan,263,0.207713633330985
Tinsukia,245,0.2044429354416258
Sivasagar,243,0.1144780438703183
Morigaon,249,0.2351001775297996
Lakhimpur,251,0.2341224997174822
Lakhimpur,251,0.483131670452033
Sonitpur,260,0.1483131217954209
Dibrugarh,258,0.1872953906213977
Darrang,256,0.2835666293393057
Bongaigaon,252,0.3375458867424926
Nagaon,254,0.2531599766445447
Jorhat,266,0.1776070038910505
Karimganj,244,0.2606243942553379
Cachar,255,0.3272677332967108
Nalbari,241,0.160736521393562
Dhubri,242,0.3090519738112373
Dhemaji,248,0.1256941268700594
Goalpara,240,0.2425388285453253
Golaghat,262,0.2097535971881521
Barpeta,259,0.2452292744303089
Hailakandi,246,0.2533745371855048
Kokrajhar,265,0.276078431372549
Kamrup,257,0.7007874015748031
Udalguri,261,0.1450199203187251
Chirang,247,0.5920745920745921
Karbi Anglong West,693,0.6423190745224644
Baksa,253,0.7859281437125748
Dima Hasao,264,0.7357512953367875
Bokaro,152,0.2591430182296561
Dumka,151,0.3299650814251723
Kodarma,144,0.2828744681891535
Pashchimi Singhbhum,140,0.2260903275828649
Gumla,154,0.3012374779021803
Godda,148,0.3547517007822099
Hazaribagh,141,0.2651712788004388
Lohardaga,146,0.2295153943252291
Dhanbad,150,0.2546529649125256
Giridih,145,0.3554759225256175
Purbi Singhbhum,143,0.3082569884895466
Jamtara,135,0.2338594994311718
Chatra,142,0.275768128967028
Pakur,158,0.3025681009697383
Saraikela-Kharsawan,136,0.3588909590425364
Deoghar,153,0.3529304861426624
Palamu,149,0.3405665561976452
Simdega,137,0.1649645144538687
Latehar,138,0.2881869320640415
Garhwa,156,0.3472290531368653
Sahibganj,147,0.2062705565759685
Ranchi,157,0.3890905578673707
Ramgarh,155,0.3650392107260308
Khunti,139,0.4082857142857143
Patna,182,0.5515844707834751
Kaimur (Bhabua),186,0.4530870132545841
Samastipur,185,0.5313972546609301
Saran,171,0.3106896858416262
Katihar,196,0.471050842474689
Begusarai,194,0.4274263885012559
Banka,165,0.5967103685346551
Purnia,161,0.4030537101200504
Purba Champaran,191,0.5468231472588567
Munger,189,0.5084798185473478
Madhepura,162,0.5396180798216951
Rohtas,187,0.5796775073233812
Khagaria,188,0.5124674437470647
Jamui,193,0.6542968382643369
Darbhanga,184,0.4721101546804305
Madhubani,180,0.4914185671847499
Lakhisarai,192,0.5757762582670104
Sheikhpura,172,0.5222918843608498
Saharsa,174,0.6241044662364718
Supaul,181,0.6760514724933069
Gopalganj,175,0.4679189383447574
Araria,168,0.5146097414911668
Kishanganj,163,0.4504453820909517
Buxar,179,0.5514068638779756
Nawada,167,0.3225085488232796
Pashchim Champaran,169,0.5913823019086177
Siwan,177,0.6550074351845865
Nalanda,195,0.7967682112334488
Sitamarhi,190,0.5572683255037185
Bhojpur,183,0.932408540731674
Bhagalpur,160,0.8540590703679793
Gaya,164,0.8951602337342452
Jehanabad,173,0.914237085132537
Sheohar,178,0.9469175462750498
Muzaffarpur,170,0.9404554461360762
Vaishali,176,0.94751356238698
Rajsamand,531,0.2719133462962352
Alwar,648,0.4007265794084304
Dausa,538,0.2894233003906639
Jaipur,528,0.3372285039719642
Tonk,526,0.3121829828780987
Bikaner,523,0.2969185094910475
Ganganagar,520,0.2971465528392187
Nagaur,518,0.2919780098260691
Udaipur,536,0.3915678946235253
Bundi,527,0.2556913005393942
Hanumangarh,517,0.2821209276557763
Baran,649,0.3178503702365902
Bharatpur,533,0.3225335441452183
Ajmer,532,0.28112361767188
Jhunjhunun,514,0.2708652227154446
Pali,530,0.3416927206229353
Kota,529,0.3263606899377864
Jalor,537,0.3450077476260479
Jhalawar,647,0.3215630944432547
Pratapgarh,524,0.2128596888203608
