Name,Unique-ID,cases_per_judge
Sonbhadra,640,1051.6293103448277
Sultanpur,588,1115.15
Unnao,616,1174.343023255814
Farrukhabad,582,572.0758928571429
Mahamaya Nagar,580,1184.0116279069769
Jhansi,638,1010.9141630901288
Balrampur,328,1391.2542372881355
Balrampur,579,1391.2542372881355
Mirzapur,613,838.2584269662922
Kannauj,583,1138.5
Jalaun,603,581.6637168141593
Sant Kabir Nagar,601,992.68115942029
Hapur,564,997.6588235294116
Sambhal,560,1270.1555555555556
Chandauli,637,475.04761904761904
Karnal,206,2130.064
Sirsa,213,1807.1263157894737
Ambala,217,1347.96644295302
Bhiwani,203,1373.958041958042
Faridabad,212,1479.7724550898204
Gurgaon,197,1755.2886597938143
Hisar,214,2208.4054054054054
Jhajjar,202,1333.7882352941176
Jind,208,1911.6515151515152
Kurukshetra,207,1548.0091743119267
Mahendragarh,210,933.9026548672566
Rohtak,216,1605.0254237288136
Sonipat,205,1425.983870967742
Panchkula,200,1879.8
Fatehabad,211,1869.0149253731345
Kaithal,204,1340.7529411764706
Rewari,215,1013.3484848484848
Panipat,209,1643.411111111111
Mewat,201,755.96875
Yamunanagar,198,1731.0919540229886
Palwal,199,913.5463917525772
Nainital,345,438.4393063583815
Garhwal,350,410.5636363636364
Tehri Garhwal,353,287.4230769230769
Udham Singh Nagar,357,882.2733333333333
Dehradun,346,1205.4533333333334
Uttarkashi,349,449.8
Almora,347,392.8709677419355
Chamoli,356,260.53846153846155
Hardwar,351,1053.1404494382025
Champawat,348,792.3888888888889
Bageshwar,354,302.7241379310345
Pithoragarh,355,497.55555555555554
Maldah,381,1332.079365079365
Hugli,395,962.1162790697674
Kolkata,380,692.1310043668122
Jalpaiguri,384,1139.095744680851
Koch Bihar,393,781.95
Paschim Medinipur,394,781.4037267080745
Birbhum,389,719.7254901960785
Purba Medinipur,386,893.0175438596491
Puruliya,392,707.5277777777778
Haora,387,1248.865168539326
Murshidabad,379,1148.1365853658538
Dakshin Dinajpur,378,1275.18
Darjiling,383,576.5753424657535
Barddhaman,390,647.7092198581561
Bankura,391,618.8709677419355
South Twenty Four Parganas,382,1315.7359735973598
Uttar Dinajpur,385,802.967032967033
Nadia,377,1082.525925925926
Gandhinagar,116,1139.6022727272727
Ahmadabad,89,308.9223410241981
Surat,111,480.84939759036143
Mahesana,104,1264.1848341232228
Rajkot,101,894.2865013774104
Amreli,99,1099.6666666666667
