Name,Unique-ID,mean_disposition_days
Kalahandi,503,635.0243940497244
Sambalpur,497,617.6865140968501
Jharsuguda,511,399.2169061056952
Kendujhar,506,723.5174358384164
Jagatsinghapur,491,770.9913082237575
Puri,485,726.2756429560923
Sundargarh,508,722.6453361420095
Balangir,513,656.2364529360967
Bhadrak,509,586.3379841669447
Jajapur,502,685.6274081806966
Subarnapur,484,595.3712458512102
Rayagada,512,696.2772482726602
Nayagarh,500,674.2531259086944
Kandhamal,492,531.0835800737624
Baudh,504,402.4686826914793
Mayurbhanj,494,696.2567626054966
Anugul,486,982.2909063105312
Bargarh,490,869.6030243948833
Debagarh,487,685.9405356332275
Malkangiri,495,410.6765355722493
Nabarangapur,489,621.2366720516962
Kathua,83,584.0038399353274
Udhampur,77,428.0866141732283
Baramula,65,522.8342624964566
Anantnag,64,179.51608999003275
Srinagar,72,513.0614392880573
Pulwama,74,400.4798383554423
Ganderbal,76,492.4430926216641
Badgam,78,437.3008074604799
Reasi,68,445.5285505124451
Shupiyan,67,490.93771850317233
Kupwara,80,422.9727110050701
Punch,79,527.3921673819742
Rajouri,69,680.9131882202305
Ramban,75,405.6342129208371
Doda,73,356.1052048726467
Leh(Ladakh),71,266.3255208333333
Leh(Ladakh),71,261.0518867924528
Kargil,84,399.4347826086956
Kargil,84,399.2267206477733
Bandipore,82,626.8977272727273
Jammu,70,687.2058029358338
Kulgam,66,565.787689348401
Samba,81,633.5056289769947
Kishtwar,85,417.96331316187593
Allahabad,636,437.70852165528623
Bareilly,575,387.8638897959677
Gorakhpur,591,294.3503487686665
Hardoi,578,575.5564625703626
Chitrakoot,589,335.4855330533851
Meerut,568,369.0306983883346
Bahraich,563,523.4561892235391
Ghaziabad,621,448.19023983543457
Fatehpur,617,290.40237299222326
Shrawasti,567,646.2184834295256
Jaunpur,609,465.304744061086
Pilibhit,584,329.51852916516947
Mainpuri,585,528.668639154746
Ambedkar Nagar,595,489.88767475899664
Sitapur,565,321.7274187742477
Auraiya,600,485.0657919817015
Budaun,561,346.78365141487654
Kanpur Nagar,597,701.100048089534
Gautam Buddha Nagar,623,315.7699544853059
Ballia,596,723.2288706383349
Sant Ravidas Nagar (Bhadohi),598,375.1701148032593
Lalitpur,641,501.2270970103164
Lucknow,592,567.2689908455078
Etah,577,341.93903298473464
Muzaffarnagar,622,483.6184546664423
Varanasi,604,386.8109772619505
Ghazipur,642,567.4840724782208
Firozabad,587,407.3782289567678
Agra,626,327.17201216509187
Etawah,625,563.6808951946037
Kushinagar,614,466.26459214983976
Jyotiba Phule Nagar,586,483.2525024672212
Bara Banki,610,415.80196634991154
Kaushambi,602,607.5751793793702
Mahoba,611,346.00560648801127
Banda,639,390.6530433679939
Kanshiram Nagar,562,544.240577128607
Deoria,615,902.5155651340996
Mau,618,498.4658112821169
Aligarh,569,356.41939802315983
Azamgarh,593,648.1660322732824
Baghpat,572,539.1425849173455
Basti,590,393.906245074241
Bijnor,571,502.77244957100913
Bulandshahr,570,347.30210661745593
Faizabad,594,367.71807276497015
Gonda,607,447.617822322877
Kanpur Dehat,608,422.7618117455711
Mahrajganj,612,422.1646323310509
Mathura,576,315.28382730995725
Moradabad,559,293.3097322175358
Rae Bareli,619,539.3408838281144
Rampur,574,335.7137296274738
Saharanpur,624,466.59458425470376
Shahjahanpur,581,349.45549300580007
Siddharthnagar,599,396.9328660731199
Sonbhadra,640,445.6766118614947
Sultanpur,588,495.631236834186
Unnao,616,499.74861894644295
Farrukhabad,582,427.9753851602621
Mahamaya Nagar,580,447.7208401088129
Jhansi,638,298.2212328386415
Balrampur,328,578.4139709329583
Balrampur,579,578.4139709329583
Mirzapur,613,411.4405681644088
Kannauj,583,507.746751693902
Jalaun,603,594.621045378859
Sant Kabir Nagar,601,517.8361819090454
Hapur,564,334.29931479909743
Sambhal,560,554.2253226912765
Chandauli,637,625.6369047619048
Samli,566,564.16731567188
Karnal,206,310.9110874892701
Sirsa,213,322.4211107250169
Ambala,217,374.77452522516506
Bhiwani,203,402.79125371103805
Faridabad,212,390.1678287143487
Gurgaon,197,405.06219531524846
Hisar,214,345.69915006717684
Jhajjar,202,420.6638536823557
Jind,208,357.1838478582713
Kurukshetra,207,358.6723343028653
Mahendragarh,210,521.4609792266979
Rohtak,216,334.8965960018128
Sonipat,205,438.4480685184642
Panchkula,200,280.83898117582504
Fatehabad,211,238.6981890219971
Kaithal,204,393.45729075873214
Rewari,215,442.1209558379829
Panipat,209,414.03630368546266
Mewat,201,442.0143146647016
Yamunanagar,198,495.5311986234273
Palwal,199,458.5013320529104
Nainital,345,311.87431319828323
Garhwal,350,343.6423867837338
