year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_decision_days
2011.0,13.0,73.0,2,1,3,1875.0,1875.0
2011.0,13.0,74.0,0,1,1,2567.0,2567.0
2011.0,13.0,75.0,2,0,2,0.0,
2011.0,13.0,76.0,2,0,2,0.0,
2011.0,14.0,1.0,0,41,41,28804.0,702.5365853658536
2011.0,14.0,2.0,0,82,82,63170.0,770.3658536585366
2011.0,14.0,3.0,0,21,21,35003.0,1666.8095238095239
2011.0,14.0,4.0,0,1,1,1467.0,1467.0
2011.0,14.0,5.0,2,105,107,138565.0,1319.6666666666667
2011.0,14.0,6.0,0,10,10,15684.0,1568.4
2011.0,14.0,7.0,0,8,8,12919.0,1614.875
2011.0,14.0,8.0,0,21,21,18665.0,888.8095238095239
2011.0,14.0,9.0,0,6,6,5379.0,896.5
2011.0,14.0,10.0,0,17,17,22451.0,1320.6470588235295
2011.0,14.0,11.0,0,1,1,1363.0,1363.0
2011.0,14.0,12.0,0,18,18,19149.0,1063.8333333333333
2011.0,14.0,13.0,1,18,19,32525.0,1806.9444444444443
2011.0,14.0,14.0,0,5,5,9356.0,1871.2
2011.0,14.0,15.0,0,2,2,1941.0,970.5
2011.0,14.0,16.0,0,1,1,752.0,752.0
2011.0,14.0,17.0,0,8,8,9777.0,1222.125
2011.0,14.0,18.0,0,3,3,4246.0,1415.3333333333333
2011.0,14.0,19.0,0,2,2,2912.0,1456.0
2011.0,14.0,20.0,0,88,88,77138.0,876.5681818181819
2011.0,14.0,23.0,0,6,6,7928.0,1321.3333333333333
2011.0,15.0,1.0,0,7,7,9055.0,1293.5714285714287
2011.0,15.0,2.0,0,2,2,1527.0,763.5
2011.0,15.0,4.0,1,19,20,27616.0,1453.4736842105262
2011.0,15.0,5.0,19,63,82,86182.0,1367.968253968254
2011.0,15.0,9.0,0,6,6,6381.0,1063.5
2011.0,15.0,13.0,0,5,5,1504.0,300.8
2011.0,16.0,2.0,0,2,2,3424.0,1712.0
2011.0,16.0,3.0,1,1,2,2460.0,2460.0
2011.0,16.0,4.0,3,2,5,4599.0,2299.5
2011.0,16.0,7.0,6,11,17,21707.0,1973.3636363636363
