year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_days
2018,8,22,5051,3458,8509,348792.0,100.86524002313476
2018,8,23,11513,8516,20029,419026.0,49.20455612963833
2018,8,24,10045,5013,15058,290565.0,57.96229802513465
2018,8,25,4191,2182,6373,193807.0,88.82080659945005
2018,8,26,9092,3095,12187,221432.0,71.54507269789984
2018,8,27,3317,7071,10388,461285.0,65.23617592985434
2018,8,28,20955,9498,30453,541511.0,57.01316066540324
2018,8,29,17625,6728,24353,666424.0,99.05231866825208
2018,8,30,12903,3772,16675,237264.0,62.90137857900318
2018,8,31,14063,8043,22106,342658.0,42.60325749098595
2018,8,33,12895,3795,16690,243962.0,64.28511198945982
2018,8,34,15074,4468,19542,477556.0,106.88361683079678
2018,8,35,15083,8195,23278,433317.0,52.87577791336181
2018,8,36,6854,2612,9466,182983.0,70.05474732006125
2018,8,37,1751,287,2038,52219.0,181.94773519163763
2018,8,38,21705,4689,26394,421536.0,89.89891234804863
2018,8,39,5896,2672,8568,432000.0,161.67664670658684
2018,9,1,7012,6589,13601,464792.0,70.54059796630749
2018,9,2,19702,18954,38656,1698840.0,89.62962962962963
2018,9,3,5742,12468,18210,589731.0,47.299566891241575
2018,9,4,44549,53888,98437,2522077.0,46.80220086104513
2018,9,5,6465,11111,17576,368040.0,33.12393123931239
2018,9,6,8254,15505,23759,853336.0,55.036181876813934
2018,9,7,17780,20365,38145,1158138.0,56.869040019641545
2018,9,8,9744,17286,27030,565938.0,32.73967372440125
2018,9,9,17391,14390,31781,721584.0,50.14482279360667
2018,9,10,7430,11626,19056,406297.0,34.94727335282987
2018,9,11,9894,13442,23336,639564.0,47.5795268561226
2018,9,12,7507,7918,15425,307027.0,38.775827229098255
2018,9,13,9222,12903,22125,866715.0,67.17158800279005
2018,9,14,20457,34013,54470,1194818.0,35.1282744832858
2018,9,18,6950,15404,22354,840681.0,54.5754998701636
2018,9,19,12287,26313,38600,537578.0,20.430129593736936
2018,9,20,17720,48892,66612,1276921.0,26.117176634214186
2018,9,21,4053,6170,10223,263133.0,42.64716369529984
2018,9,22,6284,10572,16856,425621.0,40.259269769201666
2018,9,23,3185,6228,9413,297796.0,47.815671162491974
2018,9,24,3108,5695,8803,293976.0,51.620017559262514
2018,9,25,4147,5760,9907,287327.0,49.883159722222224
2018,9,26,4438,6481,10919,281853.0,43.4891220490665
2018,9,27,4109,7234,11343,360561.0,49.842549073818084
2018,9,28,7217,14502,21719,1465893.0,101.08212660322714
2018,9,29,4846,7561,12407,320107.0,42.336595688401005
2018,9,30,11084,11086,22170,476965.0,43.02408443081364
2018,9,31,12625,13045,25670,514481.0,39.43894212341893
2018,9,32,2539,4563,7102,96515.0,21.151654613193074
2018,9,33,6842,8250,15092,403295.0,48.88424242424242
2018,9,34,3380,4291,7671,187361.0,43.663714751806104
2018,9,35,11252,15633,26885,642934.0,41.12671911981066
2018,9,36,5771,9897,15668,449566.0,45.42447206224109
2018,9,38,5120,8897,14017,864553.0,97.17354164325053
2018,9,39,4937,7498,12435,128494.0,17.13710322752734
2018,9,40,9,38250,38259,3311486.0,86.57479738562091
2018,10,1,4929,3193,8122,296392.0,92.825555903539
2018,10,2,4630,5151,9781,294058.0,57.08755581440497
2018,10,3,15160,26316,41476,1154319.0,43.86377108983128
2018,10,4,5165,11566,16731,322639.0,27.895469479508904
2018,10,5,6692,5445,12137,764527.0,140.40899908172636
2018,10,6,5285,8907,14192,372343.0,41.80341304591894
2018,10,7,9241,11345,20586,585718.0,51.62785368003526
2018,10,8,12199,13332,25531,870105.0,65.26440144014401
2018,10,9,7317,12869,20186,527477.0,40.988188670448366
2018,10,10,11723,8073,19796,835213.0,103.45757463148767
2018,10,11,11041,16660,27701,867881.0,52.093697478991594
2018,10,12,12088,13188,25276,912164.0,69.16621170761299
2018,10,13,40469,14562,55031,2054825.0,141.10870759511056
2018,10,14,6421,22033,28454,711050.0,32.272046475740936
2018,10,15,13343,21172,34515,809781.0,38.247732854713774
2018,10,16,2197,3759,5956,165166.0,43.93881351423251
2018,10,17,8348,13420,21768,737793.0,54.977123695976154
2018,10,18,18459,10917,29376,986962.0,90.40597233672254
2018,10,19,6147,5207,11354,418375.0,80.34856923372384
2018,10,20,11580,7720,19300,808273.0,104.69857512953368
2018,10,21,3713,5127,8840,235152.0,45.86541837331773
2018,10,22,8261,9236,17497,412265.0,44.63674750974448
2018,10,23,2293,6314,8607,125403.0,19.861102312321826
2018,10,24,11530,8814,20344,892693.0,101.2812570909916
2018,10,25,3370,8404,11774,260259.0,30.968467396477866
2018,10,26,6863,9995,16858,515244.0,51.55017508754377
2018,10,27,8675,15935,24610,551324.0,34.5983056165673
2018,10,28,7615,5940,13555,618169.0,104.06885521885522
2018,10,29,5342,12893,18235,369669.0,28.672070115566587
2018,10,30,3408,5384,8792,306639.0,56.95375185735513
2018,10,31,11489,10215,21704,622324.0,60.922564855604506
2018,10,32,10483,6649,17132,798575.0,120.10452699654083
2018,10,33,11839,11668,23507,999706.0,85.67929379499486
2018,11,1,17920,5195,23115,533613.0,102.71665062560155
2018,11,2,6014,1317,7331,124397.0,94.45482156416097
2018,11,3,2724,818,3542,107369.0,131.25794621026895
2018,11,4,8445,4453,12898,224933.0,50.51268807545475
2018,11,5,17244,4752,21996,438008.0,92.17340067340068
2018,11,6,7267,2525,9792,162162.0,64.22257425742575
2018,11,7,5708,1485,7193,135501.0,91.24646464646464
2018,11,8,13045,3387,16432,257672.0,76.07676409802185
2018,11,9,1938,843,2781,94948.0,112.63107947805457
2018,11,10,5935,1599,7534,237393.0,148.46341463414635
2018,11,11,7873,1928,9801,118378.0,61.399377593360995
2018,11,12,6574,481,7055,25242.0,52.478170478170476
2018,11,13,7684,2572,10256,279229.0,108.5649300155521
2018,11,14,6668,1688,8356,291223.0,172.5254739336493
2018,11,15,6405,3216,9621,263122.0,81.81654228855722
2018,11,16,9080,4535,13615,265284.0,58.49702315325248
2018,11,17,6247,1911,8158,138718.0,72.58922030350602
2018,11,18,11313,1894,13207,171255.0,90.41974656810982
2018,11,19,6368,1695,8063,145092.0,85.6
2018,11,20,2411,1710,4121,281896.0,164.8514619883041
2018,11,21,5164,2655,7819,233053.0,87.7789077212806
2018,11,22,2853,1225,4078,95156.0,77.67836734693877
2018,11,23,3362,1248,4610,112733.0,90.33092948717949
2018,11,24,2552,790,3342,56601.0,71.64683544303797
2018,11,26,8041,1010,9051,121480.0,120.27722772277228
2018,11,27,6407,1726,8133,152653.0,88.44322132097335
2018,11,29,6383,1613,7996,76740.0,47.575945443273405
2018,11,30,1412,406,1818,28868.0,71.10344827586206
2018,11,31,2440,648,3088,59283.0,91.48611111111111
2018,11,32,735,774,1509,128911.0,166.5516795865633
2018,12,1,1396,1224,2620,135630.0,110.80882352941177
2018,12,2,1961,3292,5253,190225.0,57.78402187120292
2018,12,3,4057,2481,6538,203242.0,81.91938734381299
2018,12,4,2837,7258,10095,333184.0,45.90575916230367
2018,12,5,6461,6503,12964,509294.0,78.31677687221283
2018,12,6,1301,3040,4341,247594.0,81.4453947368421
2018,12,7,793,710,1503,49964.0,70.3718309859155
2018,12,8,1804,1028,2832,81777.0,79.54961089494164
2018,12,9,772,614,1386,96318.0,156.86970684039088
2018,12,10,654,1605,2259,58690.0,36.56697819314642
2018,12,11,2161,1448,3609,120960.0,83.53591160220995
2018,12,12,951,695,1646,89020.0,128.0863309352518
